,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,cherskiy,0,RU,1583667319,76,68.75,161.3,-10.21,9.66
1,jamestown,90,US,1583667319,74,42.1,-79.24,41.0,10.29
2,bang saphan,2,TH,1583667319,74,11.21,99.51,87.8,4.7
3,vaini,20,TO,1583667319,94,-21.2,-175.2,71.6,3.36
4,ushuaia,75,AR,1583667106,81,-54.8,-68.3,44.6,32.21
5,rongcheng,100,CN,1583667319,95,30.63,117.85,60.89,3.31
6,ouro preto do oeste,97,BR,1583667319,95,-10.75,-62.22,75.29,2.48
7,safaga,0,EG,1583667319,29,26.73,33.94,78.8,3.36
8,punta arenas,20,CL,1583667319,71,-53.15,-70.92,50.0,34.45
9,cairns,90,AU,1583667299,94,-16.92,145.77,78.8,1.12
10,maun,75,BW,1583667320,45,-19.98,23.42,84.2,6.93
11,aklavik,90,CA,1583667320,76,68.22,-135.01,-11.2,2.24
12,rikitea,100,PF,1583667320,85,-23.12,-134.97,78.17,19.77
13,yarkovo,100,RU,1583667320,85,57.4,67.08,29.93,12.28
14,cabo san lucas,90,MX,1583667320,40,22.89,-109.91,70.0,6.93
15,qaanaaq,100,GL,1583667320,95,77.48,-69.36,-20.29,2.01
16,manyana,1,BW,1583667320,24,-23.4,21.72,84.47,7.09
17,badiraguato,100,MX,1583667320,81,25.37,-107.52,66.99,1.01
18,kapaa,75,US,1583667320,68,22.08,-159.32,71.6,18.34
19,goderich,56,CA,1583667320,74,43.75,-81.72,36.0,11.3
20,puerto ayora,32,EC,1583667320,100,-0.74,-90.35,78.01,5.19
21,hithadhoo,12,MV,1583667029,63,-0.6,73.08,83.39,6.06
22,shimoda,100,JP,1583667320,91,34.67,138.95,52.0,1.99
23,bandarbeyla,37,SO,1583667320,68,9.49,50.81,78.89,10.47
24,barrow,90,US,1583667301,83,71.29,-156.79,-14.8,8.05
25,buala,100,SB,1583667321,84,-8.14,159.59,80.87,9.86
26,yulara,23,AU,1583667321,19,-25.24,130.99,89.6,5.82
27,villamontes,0,BO,1583667321,44,-21.25,-63.5,81.95,2.95
28,naica,100,MX,1583667321,54,27.85,-105.48,61.79,14.72
29,lixourion,75,GR,1583667321,67,38.2,20.43,60.8,8.05
30,zitsa,75,GR,1583667321,62,39.69,20.64,59.0,11.41
31,segou,0,ML,1583667321,3,13.43,-6.22,101.75,13.67
32,kavaratti,14,IN,1583667321,72,10.57,72.64,82.85,8.5
33,provideniya,0,RU,1583667321,94,64.38,-173.3,-8.41,5.55
34,atuona,20,PF,1583667321,71,-9.8,-139.03,81.41,10.22
35,talnakh,71,RU,1583667321,69,69.49,88.4,-7.6,8.95
36,coahuayana,20,MX,1583667321,59,18.73,-103.68,68.99,2.95
37,port elizabeth,20,ZA,1583667321,69,-33.92,25.57,77.0,18.34
38,bluff,46,NZ,1583667321,96,-46.6,168.33,54.0,1.99
39,blackwater,18,AU,1583667321,87,-23.58,148.88,75.29,16.2
40,san cristobal,75,VE,1583667321,73,7.77,-72.22,77.0,4.7
41,moron,0,AR,1583667197,53,-34.65,-58.62,78.01,8.05
42,nha trang,20,VN,1583667322,70,12.25,109.18,84.2,8.05
43,hobart,75,AU,1583667322,58,-42.88,147.33,55.4,9.17
44,kuraymah,73,SD,1583667322,6,18.55,31.85,95.81,14.43
45,busselton,79,AU,1583667322,20,-33.65,115.33,82.99,19.8
46,upernavik,100,GL,1583667322,95,72.79,-56.15,-10.57,4.9
47,luderitz,0,NA,1583667322,82,-26.65,15.16,65.75,17.38
48,bethel,90,US,1583667322,68,41.37,-73.41,35.6,3.8
49,muswellbrook,71,AU,1583667299,73,-32.27,150.9,64.99,3.0
50,mahebourg,75,MU,1583667322,88,-20.41,57.7,81.0,5.82
51,fort-de-france,1,MQ,1583667322,78,14.61,-61.07,77.0,2.24
52,albany,90,US,1583667316,68,42.6,-73.97,30.0,8.05
53,ust-kuyga,100,RU,1583667322,96,70.02,135.6,-15.25,5.91
54,khoy,8,IR,1583667119,46,38.55,44.95,56.57,4.03
55,olyka,75,UA,1583667322,81,50.72,25.81,42.8,4.47
56,tiksi,100,RU,1583667322,97,71.69,128.87,-22.09,3.85
57,mumford,82,GH,1583667322,52,5.26,-0.76,91.67,7.36
58,kununurra,38,AU,1583667323,74,-15.77,128.73,84.2,4.23
